Purchase Order Details
PO Number,CPO-65506161
Supplier,"Pioneer Technology"
Project,"MG LM6- REAR GANTRY"
Date,6/4/2026
Status,Draft

Part Number,Description,Qty,Unit Price,Discount %,Total
"9101661","PNOZsigma Safety relay (standalone). Inputs: 1-/2-channel wiring with/ without detection of shorts across contacts. Outputs: 3 N/O, 1 N/C, 1 semiconductor, UB 24 V DC, width: 22.5 mm, Monitoring E-STOP, safety gates.",1,18850,0,18850.00
"9101661","PNOZsigma Safety relay (standalone). Inputs: 1-/2-channel wiring with/ without detection of shorts across contacts. Outputs: 3 N/O, 1 N/C, 1 semiconductor, UB 24 V DC, width: 22.5 mm, Monitoring E-STOP, safety gates.",1,18850,0,18850.00
